id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified001a8c87-d0f7-4f8a-8eb2-47c01bbca9e1;Hotel Cristal;8.99043;46.93869;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/8/e/2/98e23582d224efc3fada77e2b4d89188d3cd4254_Braunwald_Winter_Cristal_Kinderland_MRH_DSC7532.jpg'}];2026-05-04T10:57:08+02:00
09c77044-a39b-438d-a13f-9c5d36af7b8f;Kiosk;8.9979955;46.9386252;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/8/5/4/c/854c7e4f0ccc3f6bd801b2b6740403694fc7aacf_kiosk_PE.jpg'}];2026-05-04T10:57:08+02:00
1b9c709a-d72d-4405-b4cd-6a2b1c9ead06;Flugplatz Mollis Süd;9.065648;47.078776;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/8/9/d/3/89d3d0aa97cff94e717e53ffed822475a0154c98_flugplatz_mollis_sued.jpg'}];2026-05-04T10:57:08+02:00
1f348780-9966-4c33-b499-3c4e824ce355;Niederurner Täli;9.023495252566963;47.12514805;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/6/b/c/4/6bc43ee85535d2d2cb0de63d780f11e55ccc379f_latestpreview.jpg'}];2026-05-04T10:57:08+02:00
26332573-7e1f-46cf-ae23-fc534d4d717d;Sportbahnen Elm Schabell;9.142523;46.929765;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/7/9/0/f/790f0fd17e83813d43e69c5ffd03abb076c9c744_Schabell___Sportbahnen_Elm_2025_1127_154000.jpg'}];2026-05-04T10:57:08+02:00
2c8ca903-f98c-4ec1-aa40-fbc425ad2e44;Märchenhotel;9.0000548;46.940931;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/8/7/1/b87190819183a0b0814d79ff2179c2f04e5cd59b_25_12_23_MaerchenhotelEisfeld_6.jpg'}];2026-05-04T10:57:08+02:00
2f4c3be4-bd77-499d-88ee-b84c0b4fac0e;Oberblegisee;9.01267;46.97618;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/7/e/8/6/7e86922ed2e7f39405ab0d856c06cdff1fd82a40_Oberblegisee___Solar_2025_1127_151000.jpg'}];2026-05-04T10:57:08+02:00
2fd3274f-b70a-498f-91d6-8d22a1bceee7;Claridenhütte SAC;8.93583;46.8594;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/5/0/b/7/50b7fedea1ece1cbe9dfd24a96b6b114456b3f25_f7cc9.jpg'}];2026-05-04T10:57:08+02:00
37de45bf-65b2-4af9-bb74-5722b96b7a7a;Mettmen Alp;9.0973177;46.958311;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/6/9/5/b695f7c04eb189644505c29985e68298ea6ebf65_Mettmen_Gaemspfad_MRH_DSC_9745.jpg'}];2026-05-04T10:57:08+02:00
392cbb09-2e5d-4870-b3da-a1a147b35a16;Glarus – Kantonsspital;9.0654852;47.0451152;[{'@type': 'ImageObject', 'contentUrl': 'https://visitglpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/4/9/7/b497ff03b5ffbadf62189bd4d0a483d37384381a_Kantonsspital_Glarus.png'}];2026-05-07T11:08:50+02:00
